admin0,admin2,geocode match,parsed admin2
CMR,BAFIA,"Bafia, pk11, Mbam-et-Inoubou, Centre, Cameroun", Mbam-et-Inoubou
CMR,BIBEMI,"Bibemi, Bénoué, Nord, Cameroun", Bénoué
CMR,BIYEM-ASSI,"Biyem-Assi, Yaoundé VI, Communauté urbaine de Yaoundé, Mfoundi, Centre, Cameroun", Mfoundi
CMR,BONASSAMA,"Bonaberi, Douala IV, Communauté urbaine de Douala, Wouri, Cameroun", Communauté urbaine de Douala
CMR,BOURHA,"Bourha, Mayo-Tsanaga, Extrême-Nord, Cameroun", Mayo-Tsanaga
CMR,BUEA,"Buea, Fako, Southwest, Cameroun", Fako
CMR,CITE DES PALMIERS,"Cité Des Palmiers, Bassa, Douala V, Communauté urbaine de Douala, Wouri, Cameroun", Communauté urbaine de Douala
CMR,CITE VERTE,"Cité Verte, Yaoundé II, Communauté urbaine de Yaoundé, Mfoundi, Centre, Cameroun", Mfoundi
CMR,DEIDO,"Deido, Douala I, Communauté urbaine de Douala, Wouri, Cameroun", Communauté urbaine de Douala
CMR,EDEA,"Communauté urbaine d'Édéa, Sanaga-Maritime, Cameroun", Sanaga-Maritime
CMR,EFOULAN,"Efoulan, Ebolowa I, Communauté urbaine d'Ebolowa, Mvila, Sud, Cameroun", Mvila
CMR,FIGUIL,"Figuil, Mayo-Louti, Nord, Cameroun", Mayo-Louti
CMR,FOTOKOL,"Fotokol, Logone-et-Chari, Extrême-Nord, Cameroun", Logone-et-Chari
CMR,FOUMBAN,"Foumban, Noun, Ouest, Cameroun", Noun
CMR,FOUMBOT,"Foumbot, Noun, Ouest, Cameroun", Noun
CMR,GAROUA 1,"Garoua I, Communauté urbaine de Garoua, Bénoué, Nord, Cameroun", Bénoué
CMR,GAROUA 2,"Garoua II, Communauté urbaine de Garoua, Bénoué, Nord, Cameroun", Bénoué
CMR,GOLOMBE,"Golombe, Guider, Mayo-Louti, Nord, Cameroun", Mayo-Louti
CMR,GOULFEY,"Goulfey قولفي, Logone-et-Chari, Extrême-Nord, Cameroun", Logone-et-Chari
CMR,GUERE,"Guere, Guéré, Mayo-Danay, Extrême-Nord, Cameroun", Mayo-Danay
CMR,GUIDER,"Guider, Mayo-Louti, Nord, Cameroun", Mayo-Louti
CMR,GUIDIGUIS,"Guidiguis, Mayo-Kani, Extrême-Nord, Cameroun", Mayo-Kani
CMR,KAELE,"Kaele, Kaélé, Mayo-Kani, Extrême-Nord, Cameroun", Mayo-Kani
CMR,KOLOFATA,"Kolofata, Mayo-Sava, Extrême-Nord, Cameroun", Mayo-Sava
CMR,KOUOPTAMO,"Kouoptamo, Noun, Ouest, Cameroun", Noun
CMR,KOUSSERI,"Kousséri, Logone-et-Chari, Extrême-Nord, Cameroun", Logone-et-Chari
CMR,KOZA,"Koza, Touroua, Bénoué, Nord, Cameroun", Bénoué
CMR,LAGDO,"Lagdo, Bénoué, Nord, Cameroun", Bénoué
CMR,LOGBABA,"Logbaba, Douala III, Communauté urbaine de Douala, Wouri, Cameroun", Communauté urbaine de Douala
CMR,MADA,"Mada, Makary, Logone-et-Chari, Extrême-Nord, Cameroun", Logone-et-Chari
CMR,MAGA,"Maga, Mayo-Danay, Extrême-Nord, Cameroun", Mayo-Danay
CMR,MOGODE,"Mogodé, Mayo-Tsanaga, Extrême-Nord, Cameroun", Mayo-Tsanaga
CMR,MOKOLO,"Mokolo, Mayo-Tsanaga, Extrême-Nord, Cameroun", Mayo-Tsanaga
CMR,MORA,"Mora, Mayo-Sava, Extrême-Nord, Cameroun", Mayo-Sava
CMR,MUYUKA,"Muyuka, Fako, Southwest, Cameroun", Fako
CMR,NEW BELL,"New Bell, Douala, Douala II, Communauté urbaine de Douala, Wouri, Cameroun", Communauté urbaine de Douala
CMR,OBALA,"Obala, Yaoundé-Bertoua, Elig Bessola, Obala, Lekié, Centre, Cameroun", Lekié
CMR,PITOA,"Pitoa, Bénoué, Nord, Cameroun", Bénoué
CMR,REYBOUBA,,
CMR,ROUA,"Roua, Soulèdé-Roua, Mayo-Tsanaga, Extrême-Nord, Cameroun", Mayo-Tsanaga
CMR,TCHOLLIRE,"Tcholliré, Mayo-Rey, Nord, Cameroun", Mayo-Rey
CMR,TIKO,"Tiko, Fako, Southwest, Cameroun", Fako
CMR,TOKOMBERE,"Tokombere, Pitoa, Bénoué, Nord, Cameroun", Bénoué
CMR,TOMBEL,"Tombel, Kupe-Muanenguba, Southwest, Cameroun", Kupe-Muanenguba
CMR,VELE,"Vele, Guémé, Mayo-Danay, Extrême-Nord, Cameroun", Mayo-Danay
CMR,YAGOUA,"Yagoua, Mayo-Danay, Extrême-Nord, Cameroun", Mayo-Danay
COD,ANKORO,"Ankoro, Tanganyika, République démocratique du Congo", Tanganyika
COD,BAGIRA,"Bagira, Bukavu, Sud-Kivu, République démocratique du Congo", Bukavu
COD,BILI,"Bili, Bosobolo, Nord-Ubangi, République démocratique du Congo", Bosobolo
COD,BINZA METEO,"Binza Météo, Ngaliema, Kinshasa, République démocratique du Congo", Ngaliema
COD,BUNKEYA,"Bunkeya, Lubudi, Lualaba, République démocratique du Congo", Lubudi
COD,DILALA,"Dilala, Kolwezi, Lualaba, République démocratique du Congo", Kolwezi
COD,FATAKI,"Fataki, Maniema, République démocratique du Congo", Maniema
COD,IPAMU,"Ipamu, Kwilu, République démocratique du Congo", Kwilu
COD,KAPOLOWE,"Kapolowe, Naviundu, Annexe, Ville de Lubumbashi, Haut-Katanga, République démocratique du Congo", Ville de Lubumbashi
COD,KARISIMBI,"Karisimbi, Goma, Nord-Kivu, République démocratique du Congo", Goma
COD,KENYA,"KENYA, Tanganyika, Fizi, Sud-Kivu, République démocratique du Congo", Fizi
COD,KIBUA,"Kibua, Walikale, Nord-Kivu, République démocratique du Congo", Walikale
COD,KILWA,"Kilwa, Lido-Golf, Lubumbashi, Ville de Lubumbashi, Haut-Katanga, République démocratique du Congo", Ville de Lubumbashi
COD,KINGABWA,"Kingabwa, Limete, Kinshasa, République démocratique du Congo", Limete
COD,KITONA,"Kitona, Kongo-Central, République démocratique du Congo", Kongo-Central
COD,LEMERA,"Lemera, Gombe, Kinshasa, République démocratique du Congo", Gombe
COD,LOGO,"Logo, Mahagi, Ituri, République démocratique du Congo", Mahagi
COD,LOWA,"Lowa, République démocratique du Congo", République démocratique du Congo
COD,LUKAFU,"Lukafu, Haut-Katanga, République démocratique du Congo", Haut-Katanga
COD,MALUKU,"Maluku, Kinshasa, République démocratique du Congo", Kinshasa
COD,MALUKU,"Maluku, Kinshasa, République démocratique du Congo", Kinshasa
COD,MATETE,"Matete, Kinshasa, République démocratique du Congo", Kinshasa
COD,MAWUYA,"Mawuya, Libenge, Sud-Ubangi, République démocratique du Congo", Libenge
COD,MINOVA,"Minova, Buhavu (chefferie), Kalehe, Sud-Kivu, République démocratique du Congo", Kalehe
COD,MITI MURHESA,"Miti-Murhesa, Murhesa, Kabare (chefferie), Kabare, Sud-Kivu, République démocratique du Congo", Kabare
COD,MONT NGAFULA,"Mont Ngafula, Kinshasa, République démocratique du Congo", Kinshasa
COD,MUFUNGA SAMPWE,"Mufunga Sampwe, Haut-Katanga, République démocratique du Congo", Haut-Katanga
COD,MWESO,"Mweso, Nord-Kivu, République démocratique du Congo", Nord-Kivu
COD,NSELE,"Nsele, Disasi, Bandundu City, Kwilu, République démocratique du Congo", Bandundu City
COD,NYANGEZI,"Nyangezi, Ngweshe (chefferie), Walungu, Sud-Kivu, République démocratique du Congo", Walungu
COD,NYARAMBE,"Nyarambe, Mahagi, Ituri, République démocratique du Congo", Mahagi
COD,POLICE,"Police, 109, Kimpoko, Imbali, Masina, Kinshasa, République démocratique du Congo", Masina
COD,RETHY,"Rethy, Djugu, Ituri, République démocratique du Congo", Djugu
COD,RUZIZI,"Ruzizi, Ibanda, Bukavu, Sud-Kivu, République démocratique du Congo", Bukavu
COD,TCHOMIA,"Tchomia, Djugu, Ituri, République démocratique du Congo", Djugu
COD,VUHOVI,"Vuhovi, Bashu, Beni, Nord-Kivu, République démocratique du Congo", Beni
COG,BETOU,"Bétou, Ça mètre, Dongou, Likouala, Congo", Dongou
ETH,CENTRAL GONDAR,,
ETH,CENTRAL TIGRAY,"Central Tigray, ትግራይ, ኢትዮጵያ", ትግራይ
ETH,EAST GOJJAM,"East Gojjam, አማራ ክልል / Amhara, 1221, ኢትዮጵያ", አማራ ክልል / Amhara
ETH,ERER,"Erer, Kobo, East Harerghe, ኦሮሚያ ክልል / Oromia, ኢትዮጵያ", East Harerghe
ETH,FINFINE ZURIA,,
ETH,NORTH GONDAR,"ሰሜን ጎንደር, አማራ ክልል / Amhara, 6200, ኢትዮጵያ", አማራ ክልል / Amhara
ETH,NORTH WOLLO,"ሰሜን ወሎ, አማራ ክልል / Amhara, 6500, ኢትዮጵያ", አማራ ክልል / Amhara
ETH,NORTH WESTERN TIGRAY,"North Western Tigray, ትግራይ, ኢትዮጵያ", ትግራይ
ETH,TIGRAY,"ትግራይ, ኢትዮጵያ", ኢትዮጵያ
ETH,SOUTH GONDER,"South Gonder, አማራ ክልል / Amhara, ኢትዮጵያ", አማራ ክልል / Amhara
ETH,SOUTH OMO,"South Omo, የደቡብ ብሔር ብሔረሰቦችና ሕዝቦች ክልል / Southern Nations, Nationalities, and Peoples' Region, ኢትዮጵያ", Nationalities
ETH,SOUTH WOLLO,"South Wollo, አማራ ክልል / Amhara, 7714, ኢትዮጵያ", አማራ ክልል / Amhara
ETH,WESTERN TIGRAY,"Western Tigray, ትግራይ, ኢትዮጵያ", ትግራይ
ETH,WEST GOJJAM,"West Gojjam, አማራ ክልል / Amhara, 6000, ኢትዮጵያ", አማራ ክልል / Amhara
ETH,WEST GONDAR,,
KEN,MERU,"Meru, East Kenya, 60200, Kenya", East Kenya
KEN,MOMBASA,"Mombasa, Coastal Kenya, 80100, Kenya", Coastal Kenya
KEN,TRANSNZOIA,"Ardhi house Transnzoia County, Mak Asembo Street, Kitale, Trans Nzoia, 30200, Kenya", Trans Nzoia
MWI,PHALOMBE,"Phalombe, Southern Region, Malawi", Southern Region
NER,MALBAZA,"Malbaza, Birni N'Konni, Tahoua, Niger", Birni N'Konni
NER,MARADI,"Maradi, Madarounfa, Maradi, Niger", Madarounfa
SLE,FREETOWN,"Freetown, Western Area Urban, Western Area, Sierra Leone", Western Area Urban
SSD,BUDI,,
SSD,FANGAK,"Fangak, Jonglei, South Sudan", Jonglei
SSD,IKOTOS,"Ikotos, Eastern Equatoria, South Sudan", Eastern Equatoria
SSD,JUBA,"Juba City, Juba, Central Equatoria, South Sudan", Juba
SSD,MAYENDIT,"Mayendit, Unity, South Sudan", Unity
SSD,PANYIJIAR,"Panyijar, Unity, South Sudan", Unity
TCD,ABECHE,"Abéché أبشي, Ouaddaï وداي, Tchad تشاد", Ouaddaï وداي
TCD,AMTIMAN,"Sarh-Kyabe-AmTiman, Salamat سلامات, Tchad تشاد", Salamat سلامات
TCD,BERE,"Béré بيري, Tandjilé تانجلي, Tchad تشاد", Tandjilé تانجلي
TCD,BOKORO,"Bokoro بوكورو, Hadjer-Lamis حجر لميس, Tchad تشاد", Hadjer-Lamis حجر لميس
TCD,BOL,"Bol بول, Tchad تشاد", Tchad تشاد
TCD,BONGOR,"Bongor, Mayo-Kebbi Est مايو كيبي الشرقية, Tchad تشاد", Mayo-Kebbi Est مايو كيبي الشرقية
TCD,FIANGA,"Fianga فيانكا, Mayo-Kebbi Est مايو كيبي الشرقية, Tchad تشاد", Mayo-Kebbi Est مايو كيبي الشرقية
TCD,GOUNOU GAYA,"Gounou Gaya قونو قايا, Mayo-Kebbi Est مايو كيبي الشرقية, Tchad تشاد", Mayo-Kebbi Est مايو كيبي الشرقية
TCD,GUELENDENG,"Guélendeng غيلندنك, Mayo-Kebbi Est مايو كيبي الشرقية, Tchad تشاد", Mayo-Kebbi Est مايو كيبي الشرقية
TCD,LAI,"Tandjilé تانجلي, Tchad تشاد", Tchad تشاد
TCD,LERE,"Ləre ليري, Mayo-Kebbi Ouest مايو كيبي الغربية, Tchad تشاد", Mayo-Kebbi Ouest مايو كيبي الغربية
TCD,MANDELIA,"مانديليا Mandelia, Chari-Baguirmi شاري باقرمي, Tchad تشاد", Chari-Baguirmi شاري باقرمي
TCD,MASSAGUET,"Massaguet مساقط, Hadjer-Lamis حجر لميس, Tchad تشاد", Hadjer-Lamis حجر لميس
TCD,MASSAKORY,"Massakory ماساكوري, Hadjer-Lamis حجر لميس, Tchad تشاد", Hadjer-Lamis حجر لميس
TCD,PALA,"Pala بالا, Mayo-Kebbi Ouest مايو كيبي الغربية, Tchad تشاد", Mayo-Kebbi Ouest مايو كيبي الغربية
